,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,"{131, 221}","{216, 129}","{129, 211}","{209, 129}","{128, 207}","{128, 207}","{128, 205}","{128, 203}","{201, 127}","{200, 127}","{198, 127}","{197, 126}","{195, 126}","{125, 190}","{187, 125}","{185, 124}","{184, 123}","{123, 181}","{121, 175}","{121, 173}","{120, 171}","{163, 118}","{161, 116}","{114, 156}","{112, 154}","{111, 151}","{149, 110}","{148, 109}","{148, 109}","{146, 108}","{145, 108}","{145, 108}","{145, 108}","{145, 108}","{145, 108}","{144, 107}","{144, 107}","{107, 143}","{144, 107}","{144, 107}","{145, 108}","{108, 150}","{152, 110}","{153, 110}","{156, 111}","{112, 155}","{112, 156}","{112, 156}","{112, 156}","{112, 156}","{113, 155}","{154, 114}","{153, 115}","{153, 115}","{116, 157}","{161, 118}","{120, 165}","{170, 123}","{176, 124}","{126, 183}","{128, 189}","{129, 194}","{130, 199}","{130, 204}","{130, 207}","{209, 130}","{210, 130}","{130, 211}","{131, 214}","{217, 132}","{132, 221}","{132, 223}","{225, 132}","{226, 132}","{227, 132}","{227, 132}","{227, 132}","{226, 132}","{132, 223}","{132, 222}"
1,"{204, 46}","{209, 44}","{210, 43}","{43, 211}","{43, 213}","{43, 213}","{42, 214}","{42, 215}","{216, 42}","{217, 42}","{42, 219}","{42, 220}","{41, 221}","{40, 225}","{40, 227}","{230, 39}","{232, 39}","{234, 39}","{37, 239}","{37, 239}","{240, 37}","{35, 245}","{248, 35}","{249, 34}","{249, 34}","{34, 252}","{33, 253}","{33, 254}","{256, 33}","{256, 33}","{32, 257}","{32, 258}","{32, 258}","{32, 258}","{32, 258}","{32, 259}","{32, 260}","{32, 259}","{260, 31}","{259, 31}","{258, 31}","{257, 31}","{32, 253}","{32, 252}","{32, 249}","{248, 33}","{248, 33}","{249, 33}","{33, 250}","{33, 250}","{33, 250}","{249, 33}","{33, 250}","{33, 250}","{34, 251}","{249, 35}","{36, 246}","{242, 37}","{38, 239}","{40, 234}","{41, 231}","{42, 227}","{224, 43}","{44, 221}","{220, 44}","{218, 45}","{217, 45}","{216, 45}","{46, 214}","{211, 46}","{210, 47}","{209, 47}","{208, 47}","{208, 47}","{47, 207}","{203, 47}","{203, 47}","{203, 47}","{202, 46}","{204, 46}"
2,"{456, 114}","{113, 447}","{114, 435}","{114, 428}","{114, 428}","{114, 427}","{115, 419}","{410, 116}","{409, 117}","{117, 406}","{403, 118}","{120, 393}","{120, 389}","{389, 119}","{118, 390}","{117, 413}","{116, 422}","{116, 421}","{418, 115}","{116, 415}","{401, 117}","{387, 116}","{380, 117}","{117, 374}","{370, 118}","{117, 367}","{363, 118}","{361, 117}","{363, 117}","{360, 117}","{360, 117}","{360, 117}","{360, 117}","{116, 359}","{116, 358}","{116, 358}","{116, 358}","{116, 357}","{116, 358}","{116, 358}","{116, 359}","{361, 117}","{364, 117}","{364, 117}","{118, 366}","{118, 366}","{118, 366}","{368, 118}","{369, 118}","{368, 118}","{369, 119}","{370, 119}","{374, 119}","{378, 119}","{120, 387}","{121, 394}","{401, 122}","{409, 123}","{416, 124}","{124, 412}","{412, 125}","{126, 406}","{405, 126}","{406, 127}","{410, 126}","{126, 414}","{419, 125}","{426, 124}","{123, 436}","{121, 452}","{464, 119}","{469, 118}","{467, 118}","{468, 117}","{465, 117}","{460, 117}","{116, 461}","{116, 460}","{458, 116}","{457, 116}"
3,"{416, 60}","{59, 419}","{58, 420}","{58, 421}","{58, 422}","{58, 423}","{57, 423}","{424, 57}","{57, 427}","{57, 430}","{57, 434}","{57, 436}","{57, 439}","{57, 442}","{57, 445}","{56, 450}","{56, 454}","{56, 454}","{462, 55}","{462, 55}","{465, 55}","{473, 55}","{54, 478}","{482, 54}","{483, 54}","{485, 54}","{484, 53}","{53, 485}","{53, 485}","{484, 53}","{483, 53}","{53, 486}","{53, 487}","{53, 487}","{53, 487}","{488, 53}","{489, 52}","{490, 52}","{492, 52}","{52, 493}","{51, 491}","{489, 52}","{52, 486}","{484, 52}","{483, 52}","{480, 52}","{480, 53}","{483, 53}","{53, 486}","{53, 486}","{53, 485}","{483, 53}","{484, 53}","{484, 54}","{54, 486}","{483, 54}","{55, 479}","{56, 474}","{472, 56}","{464, 57}","{58, 455}","{58, 445}","{58, 443}","{58, 439}","{58, 435}","{59, 435}","{59, 437}","{59, 436}","{435, 60}","{434, 60}","{432, 60}","{432, 60}","{61, 431}","{61, 431}","{60, 422}","{60, 415}","{60, 413}","{60, 414}","{60, 414}","{60, 415}"
4,"{104, 635}","{632, 104}","{104, 623}","{616, 105}","{105, 615}","{105, 613}","{106, 591}","{107, 571}","{107, 563}","{554, 107}","{537, 108}","{109, 502}","{460, 111}","{409, 113}","{117, 383}","{368, 117}","{345, 119}","{320, 120}","{289, 122}","{267, 124}","{128, 236}","{128, 215}","{128, 203}","{129, 191}","{185, 129}","{129, 178}","{128, 174}","{128, 172}","{128, 174}","{174, 127}","{173, 126}","{172, 127}","{173, 127}","{172, 126}","{172, 126}","{168, 125}","{125, 165}","{164, 125}","{125, 165}","{125, 165}","{164, 126}","{126, 166}","{168, 127}","{127, 167}","{128, 169}","{129, 170}","{129, 170}","{129, 171}","{129, 171}","{129, 170}","{130, 171}","{130, 173}","{178, 131}","{131, 182}","{200, 129}","{230, 127}","{124, 260}","{123, 292}","{123, 327}","{125, 350}","{124, 382}","{416, 123}","{120, 451}","{496, 118}","{538, 115}","{114, 559}","{113, 575}","{113, 578}","{112, 590}","{617, 110}","{636, 109}","{635, 108}","{108, 629}","{642, 107}","{634, 107}","{107, 622}","{625, 106}","{625, 106}","{618, 106}","{105, 619}"
5,"{609, 67}","{67, 611}","{67, 611}","{67, 612}","{67, 612}","{67, 612}","{67, 613}","{67, 614}","{67, 615}","{67, 619}","{67, 620}","{67, 620}","{67, 622}","{66, 623}","{624, 66}","{626, 66}","{66, 629}","{66, 629}","{66, 631}","{66, 631}","{632, 66}","{66, 638}","{66, 639}","{66, 644}","{66, 647}","{649, 66}","{648, 65}","{65, 649}","{648, 65}","{648, 65}","{648, 65}","{65, 649}","{65, 651}","{65, 652}","{64, 652}","{64, 653}","{64, 653}","{64, 652}","{64, 652}","{64, 652}","{64, 650}","{64, 649}","{64, 647}","{65, 645}","{65, 644}","{65, 642}","{65, 642}","{65, 643}","{65, 645}","{65, 646}","{65, 645}","{65, 642}","{65, 642}","{65, 643}","{65, 644}","{640, 66}","{66, 637}","{67, 635}","{634, 67}","{68, 630}","{628, 68}","{624, 68}","{620, 68}","{618, 68}","{618, 68}","{619, 68}","{627, 69}","{69, 630}","{69, 629}","{625, 69}","{69, 622}","{626, 69}","{625, 69}","{625, 69}","{68, 615}","{610, 68}","{608, 68}","{609, 68}","{609, 68}","{610, 68}"
6,"{675, 101}","{674, 100}","{102, 670}","{666, 102}","{667, 103}","{103, 663}","{104, 620}","{104, 599}","{585, 105}","{105, 573}","{105, 546}","{106, 501}","{107, 452}","{396, 109}","{344, 114}","{115, 315}","{285, 118}","{120, 259}","{226, 123}","{205, 126}","{178, 130}","{161, 130}","{131, 148}","{138, 131}","{131, 132}","{131, 124}","{130, 119}","{129, 119}","{128, 122}","{122, 127}","{120, 127}","{128, 119}","{127, 119}","{126, 118}","{116, 125}","{113, 124}","{112, 124}","{124, 110}","{124, 111}","{124, 110}","{125, 110}","{112, 125}","{113, 126}","{113, 127}","{128, 114}","{129, 115}","{130, 115}","{130, 115}","{130, 115}","{114, 130}","{114, 131}","{132, 116}","{121, 133}","{125, 133}","{130, 140}","{168, 126}","{122, 199}","{122, 228}","{121, 269}","{121, 316}","{120, 340}","{387, 118}","{115, 439}","{113, 487}","{533, 111}","{557, 110}","{576, 109}","{588, 109}","{602, 109}","{632, 108}","{107, 662}","{106, 662}","{657, 106}","{105, 670}","{105, 658}","{648, 105}","{104, 654}","{103, 655}","{645, 103}","{640, 103}"
7,"{70, 646}","{70, 647}","{70, 646}","{70, 646}","{70, 646}","{70, 646}","{70, 646}","{70, 646}","{648, 70}","{650, 70}","{650, 70}","{70, 647}","{649, 70}","{649, 70}","{649, 70}","{650, 69}","{651, 69}","{649, 69}","{652, 69}","{650, 69}","{652, 69}","{69, 655}","{658, 69}","{69, 661}","{69, 663}","{665, 69}","{665, 68}","{666, 68}","{666, 68}","{665, 68}","{665, 68}","{666, 68}","{68, 670}","{67, 670}","{67, 671}","{67, 671}","{67, 671}","{67, 670}","{67, 670}","{67, 671}","{67, 669}","{67, 669}","{667, 68}","{665, 68}","{664, 68}","{68, 663}","{68, 663}","{68, 663}","{664, 68}","{664, 68}","{664, 68}","{68, 662}","{68, 663}","{69, 670}","{69, 670}","{667, 69}","{69, 663}","{70, 662}","{661, 70}","{660, 71}","{661, 71}","{72, 657}","{72, 654}","{72, 650}","{72, 651}","{72, 651}","{72, 659}","{72, 662}","{72, 660}","{72, 659}","{656, 71}","{658, 71}","{657, 71}","{657, 71}","{649, 71}","{645, 71}","{643, 71}","{644, 71}","{643, 71}","{643, 71}"
8,"{101, 703}","{700, 101}","{699, 101}","{699, 103}","{699, 102}","{694, 103}","{104, 646}","{616, 105}","{105, 606}","{105, 590}","{560, 105}","{106, 517}","{107, 470}","{110, 407}","{114, 350}","{307, 116}","{276, 119}","{122, 251}","{219, 125}","{130, 198}","{171, 135}","{137, 154}","{138, 140}","{129, 140}","{124, 141}","{116, 141}","{112, 140}","{140, 111}","{113, 139}","{113, 138}","{138, 111}","{139, 110}","{138, 109}","{136, 108}","{107, 135}","{104, 134}","{102, 135}","{101, 135}","{101, 134}","{100, 134}","{100, 135}","{101, 135}","{104, 137}","{104, 138}","{105, 138}","{106, 140}","{107, 140}","{107, 140}","{107, 140}","{105, 140}","{106, 141}","{108, 142}","{113, 143}","{117, 142}","{136, 133}","{162, 130}","{194, 125}","{226, 124}","{122, 270}","{320, 122}","{121, 350}","{404, 118}","{115, 461}","{113, 507}","{550, 111}","{576, 110}","{595, 109}","{109, 605}","{108, 622}","{107, 659}","{106, 695}","{106, 695}","{689, 106}","{105, 699}","{681, 105}","{672, 104}","{104, 676}","{676, 103}","{667, 103}","{665, 103}"
9,"{669, 70}","{669, 70}","{668, 70}","{669, 70}","{669, 70}","{668, 70}","{667, 70}","{669, 70}","{70, 670}","{673, 70}","{673, 70}","{70, 670}","{70, 671}","{672, 70}","{70, 671}","{673, 69}","{675, 69}","{674, 69}","{69, 678}","{674, 69}","{70, 679}","{684, 69}","{69, 686}","{690, 69}","{69, 694}","{697, 69}","{68, 695}","{696, 68}","{696, 68}","{68, 695}","{68, 694}","{696, 68}","{700, 68}","{68, 701}","{68, 701}","{700, 68}","{699, 68}","{699, 68}","{698, 68}","{697, 67}","{696, 67}","{68, 695}","{68, 694}","{692, 68}","{691, 68}","{689, 68}","{689, 68}","{691, 68}","{69, 693}","{69, 693}","{692, 69}","{692, 69}","{69, 694}","{699, 69}","{69, 701}","{699, 69}","{70, 695}","{693, 70}","{693, 71}","{690, 71}","{690, 71}","{72, 685}","{72, 678}","{72, 671}","{72, 674}","{72, 674}","{72, 679}","{680, 72}","{680, 72}","{680, 72}","{680, 72}","{683, 71}","{72, 683}","{683, 71}","{675, 71}","{71, 671}","{669, 71}","{669, 71}","{668, 71}","{670, 71}"
